Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,RE-AVD-BrdrLeaf1A,Ethernet1,192.168.0.145/31,spine,RE-AVD-Spine1,Ethernet5,192.168.0.144/31
l3leaf,RE-AVD-BrdrLeaf1A,Ethernet2,192.168.0.147/31,spine,RE-AVD-Spine2,Ethernet5,192.168.0.146/31
l3leaf,RE-AVD-BrdrLeaf1A,Ethernet3,192.168.0.149/31,spine,RE-AVD-Spine3,Ethernet5,192.168.0.148/31
l3leaf,RE-AVD-BrdrLeaf1A,Ethernet4,192.168.0.151/31,spine,RE-AVD-Spine4,Ethernet5,192.168.0.150/31
l3leaf,RE-AVD-BrdrLeaf1B,Ethernet1,192.168.0.153/31,spine,RE-AVD-Spine1,Ethernet6,192.168.0.152/31
l3leaf,RE-AVD-BrdrLeaf1B,Ethernet2,192.168.0.155/31,spine,RE-AVD-Spine2,Ethernet6,192.168.0.154/31
l3leaf,RE-AVD-BrdrLeaf1B,Ethernet3,192.168.0.157/31,spine,RE-AVD-Spine3,Ethernet6,192.168.0.156/31
l3leaf,RE-AVD-BrdrLeaf1B,Ethernet4,192.168.0.159/31,spine,RE-AVD-Spine4,Ethernet6,192.168.0.158/31
l3leaf,RE-AVD-Leaf1A,Ethernet1,192.168.0.113/31,spine,RE-AVD-Spine1,Ethernet1,192.168.0.112/31
l3leaf,RE-AVD-Leaf1A,Ethernet2,192.168.0.115/31,spine,RE-AVD-Spine2,Ethernet1,192.168.0.114/31
l3leaf,RE-AVD-Leaf1A,Ethernet3,192.168.0.117/31,spine,RE-AVD-Spine3,Ethernet1,192.168.0.116/31
l3leaf,RE-AVD-Leaf1A,Ethernet4,192.168.0.119/31,spine,RE-AVD-Spine4,Ethernet1,192.168.0.118/31
l3leaf,RE-AVD-Leaf1B,Ethernet1,192.168.0.121/31,spine,RE-AVD-Spine1,Ethernet2,192.168.0.120/31
l3leaf,RE-AVD-Leaf1B,Ethernet2,192.168.0.123/31,spine,RE-AVD-Spine2,Ethernet2,192.168.0.122/31
l3leaf,RE-AVD-Leaf1B,Ethernet3,192.168.0.125/31,spine,RE-AVD-Spine3,Ethernet2,192.168.0.124/31
l3leaf,RE-AVD-Leaf1B,Ethernet4,192.168.0.127/31,spine,RE-AVD-Spine4,Ethernet2,192.168.0.126/31
l3leaf,RE-AVD-Leaf2A,Ethernet1,192.168.0.129/31,spine,RE-AVD-Spine1,Ethernet3,192.168.0.128/31
l3leaf,RE-AVD-Leaf2A,Ethernet2,192.168.0.131/31,spine,RE-AVD-Spine2,Ethernet3,192.168.0.130/31
l3leaf,RE-AVD-Leaf2A,Ethernet3,192.168.0.133/31,spine,RE-AVD-Spine3,Ethernet3,192.168.0.132/31
l3leaf,RE-AVD-Leaf2A,Ethernet4,192.168.0.135/31,spine,RE-AVD-Spine4,Ethernet3,192.168.0.134/31
l3leaf,RE-AVD-Leaf2B,Ethernet1,192.168.0.137/31,spine,RE-AVD-Spine1,Ethernet4,192.168.0.136/31
l3leaf,RE-AVD-Leaf2B,Ethernet2,192.168.0.139/31,spine,RE-AVD-Spine2,Ethernet4,192.168.0.138/31
l3leaf,RE-AVD-Leaf2B,Ethernet3,192.168.0.141/31,spine,RE-AVD-Spine3,Ethernet4,192.168.0.140/31
l3leaf,RE-AVD-Leaf2B,Ethernet4,192.168.0.143/31,spine,RE-AVD-Spine4,Ethernet4,192.168.0.142/31
